SMARTS,Count,Median,Hpd,ring,oxygenate,aromatic
[C]-[C](-[C])=[C] | (Ring),6,40.50929306369865,"[31.855864765731138, 49.13387531260622]",True,False,False
[c]:[c](:[c])-[Br] | (Ring),1,46.421207426663855,"[13.395677712535417, 81.71783230083162]",True,False,True
[H]-[C](-[C])(-[C])-[c] | (Ring),2,58.324402598188435,"[-2.1074345994883714, 117.44122235912639]",True,False,True
[C]-[C](-[C])(-[c])-[c],1,70.48284132473114,"[-23.87953188839485, 165.26456751348252]",False,False,True
[C]=[C](-[c])-[c],1,75.61984362497822,"[-15.089019895300865, 187.80611522551885]",False,False,True
[H]-[C](-[C])(-[c])-[c],1,93.00711818064983,"[6.241912415338547, 209.85594943362133]",False,False,True
[C]-[c](:[c]):[o] | (Ring),1,110.04429278977915,"[80.01110680073734, 138.21725211016934]",True,False,True
[C]-[C](=[C])-[c] | (Ring),2,117.37449329575796,"[54.621133945170016, 187.30470798048333]",True,False,True
[C]-[c](:[c]):[c] | (Ring),113,187.95524908195682,"[164.3654491016809, 216.46280301705588]",True,False,True
[c]:[c](:[c]):[c] | (Ring),19,192.13739024193046,"[176.7037722830996, 207.36960388867894]",True,False,True
[c]-[c](:[c]):[c] | (Ring),20,238.662511018175,"[217.18355634171945, 260.1338507124206]",True,False,True
